gene_id,SRR11459699,SRR11459700,SRR11459701,SRR11459702,SRR11459703,SRR11459704,SRR11459705,SRR11459706
ENSMUSG00000025907.14|Rb1cc1,1061.07923464614,1002.82112467324,1196.54153325328,975.050157579963,1202.26399105026,894.115921136288,1101.13812136578,1031.51972393019
ENSMUSG00000090031.2|4732440D04Rik,59.1467941407856,73.1788388275066,52.8168413554818,39.1548055443472,64.0069560452667,43.5189165154831,72.7624309272541,43.5672926877348
ENSMUSG00000025902.13|Sox17,14.2522395519965,10.1637276149315,10.5633682710964,7.6399620574336,9.60104340679,15.8250605510847,12.9355432759563,8.96973672982776
ENSMUSG00000033793.12|Atp6v1h,1138.04132822692,1123.43069237043,1185.01785877572,1203.29402404579,1232.13390387138,1117.64490142036,1076.88397772336,1080.21258046354
ENSMUSG00000098104.1|Gm6085,17.1026874623958,25.070528116831,19.2061241292661,31.5148434869136,13.8681738098078,27.6938559643983,16.1694290949454,24.3464282666754
ENSMUSG00000103922.1|Gm6123,23.5161952607943,34.556673890767,24.0076551615827,26.7398672010176,27.7363476196156,28.6829222488411,19.4033149139344,29.4719921122912
ENSMUSG00000033845.13|Mrpl15,1832.83800638675,1507.61959621483,1724.7099468081,1833.59089378406,1659.91372677392,1865.37901245911,1526.39410656284,1631.21069386725
ENSMUSG00000102275.1|Gm37144,19.2405233951953,27.7808554808127,26.8885737809726,21.0098956579424,20.2688694143345,30.6610548177267,27.4880294614071,23.0650373052714
ENSMUSG00000025903.14|Lypla1,2370.86004947462,2121.5087441567,2588.98553262507,2391.30812397672,2324.51928704394,2101.76585444094,2541.83425372541,2683.2326731799
ENSMUSG00000104217.1|Gm37988,10.6891796639974,0,0,15.2799241148672,12.8013912090533,0,151.992633492486,0
ENSMUSG00000033813.15|Tcea1,1020.46035192295,1006.88661571921,1127.39948638792,918.705437406391,1057.18155734765,934.667638798443,1017.05709007206,1004.61051374071
ENSMUSG00000097797.6|Gm26901,19.2405233951953,29.1360191628035,15.3648993034129,11.4599430861504,25.6027824181067,21.7594582577415,9.70165745696722,23.0650373052714
ENSMUSG00000051285.17|Pcmtd1,1355.38798139487,1346.35511805792,1052.49560228378,836.575845288979,1190.52938244196,868.400197740776,1175.51749520253,952.073484323147
ENSMUSG00000103509.1|Gm38372,147.510679363164,141.614604768045,120.038275807913,107.91446406125,158.950607512412,117.698887848693,190.799263320355,142.23439671584
ENSMUSG00000025909.16|Sntg1,59.1467941407856,82.6649846014426,42.2534730843855,36.2898197728096,45.8716518324411,37.5845188088263,84.0810312937159,58.9439842245824
ENSMUSG00000103933.1|Gm36964,3.56305988799913,8.13098209194518,5.76183723877984,10.5049478289712,2.13356520150889,9.89066284442797,4.85082872848361,11.5325186526357
